[2024-10-06T19:15:47.054+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_and_transform_data scheduled__2024-01-15T00:00:00+00:00 [queued]>
[2024-10-06T19:15:47.064+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: flight_data_pipeline.fetch_and_transform_data scheduled__2024-01-15T00:00:00+00:00 [queued]>
[2024-10-06T19:15:47.064+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 1
[2024-10-06T19:15:47.079+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): fetch_and_transform_data> on 2024-01-15 00:00:00+00:00
[2024-10-06T19:15:47.083+0000] {standard_task_runner.py:57} INFO - Started process 503 to run task
[2024-10-06T19:15:47.087+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'flight_data_pipeline', 'fetch_and_transform_data', 'scheduled__2024-01-15T00:00:00+00:00', '--job-id', '32', '--raw', '--subdir', 'DAGS_FOLDER/flights_dag.py', '--cfg-path', '/tmp/tmpsb19tzy3']
[2024-10-06T19:15:47.089+0000] {standard_task_runner.py:85} INFO - Job 32: Subtask fetch_and_transform_data
[2024-10-06T19:15:47.109+0000] {logging_mixin.py:154} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-10-06T19:15:47.154+0000] {task_command.py:416} INFO - Running <TaskInstance: flight_data_pipeline.fetch_and_transform_data scheduled__2024-01-15T00:00:00+00:00 [running]> on host ea71d0098a44
[2024-10-06T19:15:47.255+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='flight_data_pipeline' AIRFLOW_CTX_TASK_ID='fetch_and_transform_data' AIRFLOW_CTX_EXECUTION_DATE='2024-01-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-01-15T00:00:00+00:00'
[2024-10-06T19:15:52.440+0000] {logging_mixin.py:154} INFO - Data fetched containing 1 rows
[2024-10-06T19:15:52.442+0000] {logging_mixin.py:154} INFO - Data fetched containing 2 rows
[2024-10-06T19:15:52.443+0000] {logging_mixin.py:154} INFO - Data fetched containing 3 rows
[2024-10-06T19:15:52.445+0000] {logging_mixin.py:154} INFO - Data fetched containing 4 rows
[2024-10-06T19:15:52.447+0000] {logging_mixin.py:154} INFO - Data fetched containing 5 rows
